binomen,subsp,variety,habit,height_min_mm,leaf_width_min_mm,leaf_length_min_mm,fruit_width_min_mm,fruit_length_min_mm,height_max_mm,leaf_width_max_mm,leaf_length_max_mm,fruit_width_max_mm,fruit_length_max_mm,mid_mm_height,mid_mm_leaf_width,mid_mm_leaf_length,mid_mm_fruit_width,mid_mm_fruit_length,desc,source
Eucalyptus distans,NA,NA,tree,NA,10,90,3,2,10000,20,130,5,4,10000,15,110,4,3,"Tree to 10 m. Bark rough, fibrous throughout, grey. Juvenile leaves alternate, narrowly lanceolate, green, concolorous. Adult leaves lanceolate, obtuse or apiculate; lamina 9-13 cm long, 1-2 cm wide, blue-green; lateral veins faint, at 35°–50°; intramarginal vein up to 1 mm from margin; petiole terete, 10-17 mm long. Umbels 7-flowered; peduncle terete, 4-9 mm long; pedicels 1-3 mm long. Buds cylindrical to ovoid; operculum hemispherical, apiculate, 1-3 mm long, 3-4 mm wide; hypanthium cylindrical or hemispherical, 3-4 mm long and wide. Fruits obconical, 2-4 mm long, 3-5 mm wide; disc narrow, level; valves 3 or 4, exserted. Fig. 99L–M","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus microneura,NA,NA,tree,NA,18,75,4,5,18000,25,150,6,8,18000,21.5,112.5,5,6.5,"Tree to 18 m. Bark rough, fibrous throughout, brown-grey. Juvenile leaves not seen. Adult leaves lanceolate to broadly lanceolate, acute; lamina 7.5-15 cm long, 1.8-2.5 cm wide, dull, subglaucous; lateral veins faint, at 30°–40°; intramarginal vein up to 1 mm from margin; petiole terete or angular, 12-22 mm long. Umbels glaucous, 7-flowered; peduncle terete, 7-13 mm long; pedicels 2-4 mm long. Buds ovoid; operculum conical, 4-5 mm long, 3-4 mm wide; hypanthium suburceolate or obconical, 2-3 mm long, 3-4 mm wide. Fruits turbinate or obconical, 5-8 mm long, 4-6 mm wide, glaucous or subglaucous; disc narrow, level; valves 4, exserted. Gilbert. River. Box. Fig. 99N–O","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus microtheca,NA,NA,tree,NA,8,80,3,1,20000,25,170,7,5,20000,16.5,125,5,3,"Tree to 20 m. Bark varies from smooth and white or grey throughout to rough, fibrous, grey to grey-black on trunk and often on larger branches. Juvenile leaves alternate, lanceolate to broadly lanceolate, green to grey-green or glaucous, slightly discolorous. Adult leaves lanceolate or narrowly lanceolate, acute; lamina 8-17 cm long, 0.8-2.5 cm wide, dull, green or grey-green; lateral veins clearly visible, at 35°–60°; intramarginal vein up to 1 mm from margin; petiole terete, 8-17 mm long. Umbels 7-flowered; peduncle terete, 3-9 mm long; pedicels 1-4 mm long. Buds usually ovoid, occasionally fusiform, often glaucous; operculum hemispherical, apiculate, or conical, 1-2 mm long, 2-3 mm wide; hypanthium obconical, approx 2 mm long, 2-3 mm wide. Fruits hemispherical or obconical, 1-5 mm long, 3-7 mm wide; disc very narrow, ascending, or absent; valves 3 or 4, strongly exserted. Coolibah. Fig. 100A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus cyanoclada,NA,NA,tree,NA,15,70,2,3,7000,30,160,4,5,7000,22.5,115,3,4,"Tree to 7 m. Bark rough, fibrous throughout, grey. Juvenile leaves not seen. Adult leaves lanceolate, sometimes falcate, acute; lamina 7-16 cm long, 1.5-3 cm wide, grey-green or subglaucous; lateral veins clearly visible, at 50°–60°; intramarginal vein up to 2 mm from margin; petiole terete, 5-10 mm long. Umbels 7-flowered; peduncle terete, 5-10 mm long; pedicels 1-3 mm long. Buds obovoid to pyriform; operculum saucer-shaped to almost hemispherical, 1-2 mm long, 3-4 mm wide; hypanthium ovoid to obconical, 2-3 mm long, 3-4 mm wide. Fruits subcampanulate or suburceolate, 3-5 mm long, 2-4 mm wide; disc very narrow, level; valves 3 or 4, included. Fig. 100C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus pruinosa,NA,NA,tree,NA,25,50,6,7,10000,90,130,8,10,10000,57.5,90,7,8.5,"Tree to 10 m, but often a mallee to 3 m or more. Bark rough, flaky throughout, light brown to grey. Juvenile leaves opposite, ovate or broadly lanceolate, glaucous, concolorous. Adult leaves broadly ovate to elliptic-ovate, cordate, apiculate; lamina 5-13 cm long, 2.5-9 cm wide, grey-green to pruinose; lateral veins at 50°–60°; intramarginal vein double, one confluent with margin, the other up to 3 mm from margin; petiole absent. Umbels 7-flowered; peduncle slightly flattened to terete, 12-25 mm long; pedicels 5-10 mm long. Buds fusiform to pyriform, pruinose; operculum conical, sometimes slightly rostrate, 4-6 mm long, 3-6 mm wide; hypanthium obconical, 4-7 mm long, 3-6 mm wide. Fruits cylindrical to almost obconical, 7-10 mm long, 6-8 mm wide, glaucous when young; disc narrow, descending; valves 3-5, just exserted. Silver. Box. Fig. 100E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus largeana,NA,NA,tree,NA,10,120,2,3,40000,20,180,3,4,40000,15,150,2.5,3.5,"Tree to 40 m. Bark rough, fibrous, finely tessellated on trunk and larger branches, grey or often somewhat bleached, then smooth and white or light grey above. Juvenile leaves lanceolate to broadly lanceolate, dark green, discolorous. Adult leaves narrowly lanceolate, acuminate; lamina 12-18 cm long, 1-2 cm wide, dull, dark green; lateral veins faint or just visible, at 35°–40°; intramarginal vein up to 1 mm from margin; petiole 12-18 mm long. Conflorescence terminal or axillary; umbels 7-flowered; peduncle terete, 10-15 mm long; pedicels 2-4 mm long. Buds ovoid; operculum conical, 1-2 mm long, 2-3 mm wide; hypanthium obconical, 2-3 mm long and wide. Fruits ovoid to pyriform, 3-4 mm long, 2-3 mm wide; valves 3 or 4, included. Craven. Grey Box. Fig. 100G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus populnea,NA,NA,tree,NA,20,50,NA,2,20000,75,100,NA,4,20000,47.5,75,NA,3,"Tree to 20 m. Bark rough, fibrous, grey to brown or often bleached on trunk and larger branches, then smooth and brown to grey-brown above. Juvenile leaves ovate to orbicular, shining, green, slightly discolorous. Adult leaves ovate, broadly lanceolate or rhombic, acute; lamina 5-10 cm long, 2-7.5 cm wide, shining, green; lateral veins distinct, at 25°–40°; intramarginal vein up to 1 mm from margin; petiole 15-20 mm long. Conflorescence terminal; umbels 7-15-flowered; peduncle terete or angular, 5-10 mm long; pedicels 1-3 mm long. Buds clavate; operculum hemispherical, 1-2 mm long, 2-3 mm wide; hypanthium obconical, 2-3 mm long and wide. Fruits obconical to hemispherical, 2-4 mm long and wide; valves usually 4, level or included. Bimble. Box, Poplar. Box. Fig. 100 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus brownii,NA,NA,tree,NA,7,80,2,3,16000,20,150,3,4,16000,13.5,115,2.5,3.5,"Tree to 16 m. Bark rough, fibrous, finely tessellated, grey to grey-brown on trunk and larger branches, then smooth and grey above. Juvenile leaves lanceolate, green, slightly discolorous. Adult leaves narrowly lanceolate to lanceolate, acute; lamina 8-15 cm long, 0.7-2 cm wide, shining, green; lateral veins at 15°–30°; intramarginal vein up to 1 mm from margin; petiole 10-15 mm long. Conflorescence terminal panicles or axillary umbels; umbels 7-11-flowered; peduncle terete, 3-6 mm long; pedicels 1-2 mm long. Buds ovoid; operculum hemispherical or bluntly conical, 1-2 mm long, approx 2 mm wide; hypanthium obconical or hemispherical, c. 2 mm long and wide. Fruits obconical or subcampanulate, 3-4 mm long, 2-3 mm wide; valves usually 4, just included. Brown’s Box, Reid. River. Box. Fig. 100K–L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus largiflorens,NA,NA,tree,NA,9,90,3,3,20000,18,180,5,6,20000,13.5,135,4,4.5,"Tree to 20 m. Bark rough, fibrous, dark grey on trunk and larger branches, then smooth and white above. Juvenile leaves linear to narrowly lanceolate, blue-green, slightly discolorous. Adult leaves narrowly lanceolate to lanceolate, acute; lamina 9-18 cm long, 0.9-1.8 cm wide, dull, green or grey-green; lateral veins faint, at 25°–40°; intramarginal vein up to 1 mm from margin; petiole 8-15 mm long. Conflorescence usually terminal; umbels 7-11-flowered; peduncle terete or angular, 3-11 mm long; pedicels 1-5 mm long. Buds ovoid; operculum hemispherical, apiculate to conical, approx 2 mm long, approx 3 mm wide; hypanthium ovoid to obconical, 2-3 mm long, approx 3 mm wide. Fruits hemispherical or ovoid, 3-6 mm long, 3-5 mm wide; valves 3 or 4, level or included. Black. Box. Fig. 100M–N","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus behriana,NA,NA,mallee,NA,15,75,NA,5,7000,50,130,NA,6,7000,32.5,102.5,NA,5.5,"Mallee to 7 m. Bark rough, fibrous, dark brown to brown-black on lower trunk, then smooth and grey-green above. Juvenile leaves ovate, blue-green or subglaucous, slightly discolorous. Adult leaves broadly lanceolate to ovate, acute; lamina 7.5-13 cm long, 1.5-5 cm wide, shining, green; lateral veins conspicuous, at 20°–40°; intramarginal vein up to 4 mm from margin; petiole 12-20 mm long. Conflorescence terminal; umbels 3-7-flowered; peduncle terete, 5-10 mm long; pedicels 1-3 mm long. Buds ovoid; operculum hemispherical, approx 2 mm long, 2-3 mm wide; hypanthium obovoid to obconical, approx 3 mm long, 2-3 mm wide. Fruits ovoid or subpyriform, 5-6 mm long, approx 4 mm wide; valves usually 4, included. Bull. Mallee. Fig. 100 O–P. Figure 100. Eucalyptus buds and fruits, all ×1, unless otherwise stated. A–B, E. microtheca ×1.5 (A, D.Nelson 2178, FRI; B, J.Must 647, FRI). C–D, E. cyanoclada (C, R.Perry 223, CANB; D, R.Swinbourne 750, NT). E–F, E. pruinosa (E, 19.2 km W of. Inverway, N.T., N.S.W., W. de. Beuzeville & R.Large, FRI). I–J, E. populnea (I, G.Cole 172, FRI; J, K.Wells & A.Gillison 82, FRI). K–L, E. brownii (K, I.Brooker 4150, FRI; L, J.Banks 145, FRI). M–N, E. largiflorens (M, D.Kleinig 148, FRI; N, P.Martensz 1122, FRI). O–P, E. behriana (O, 13.6 km S of. West Wyalong, N.Hall, FRI; P, J.Briggs 158, FRI). C, D, G, H drawn by M.May. Others drawn by M.Risby","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus rummeryi,NA,NA,tree,NA,NA,NA,NA,3,40000,NA,NA,NA,4,40000,NA,NA,NA,3.5,"Tree to 40 m. Adult leaves: lamina 8-15 cm long, 1-2.5 cm wide; lateral veins faint, at 40°–50°; intramarginal vein up to 1 mm from margin; petiole channelled, 10-17 mm long. Peduncle angular, 6-12 mm long; pedicels 2-3 mm long. Operculum conical, 2-4 mm long, 2-3 mm wide; hypanthium usually obconical, 2-4 mm long, 2-3 mm wide. Fruits 3-4 mm long and wide. Brown. Box. Fig. 101A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus cambageana,NA,NA,tree,NA,NA,NA,3,4,35000,NA,NA,5,7,35000,NA,NA,4,5.5,"Tree to 35 m. Adult leaves: lamina 9.5-17 cm long, 1.1-2 cm wide; lateral veins clearly visible, at 30°–40°; intramarginal vein up to 2 mm from margin; petiole terete, 10-20 mm long. Peduncle terete or angular, 4-11 mm long; pedicels thick, angular, 2-6 mm long. Operculum hemispherical to conical, 2-3 mm long, 3-4 mm wide; hypanthium obovoid to obconical, 2-3 mm long, 3-4 mm wide. Fruits 4-7 mm long, 3-5 mm wide; disc white. Coowarra. Box. Fig. 101C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus intertexta,NA,NA,tree,NA,10,70,4,4,30000,20,140,7,9,30000,15,105,5.5,6.5,"Tree to 30 m. Bark rough on lower trunk, then smooth and white, grey or brown above, often in patches. Adult leaves narrowly to broadly lanceolate, acute to acuminate; lamina 7-14 cm long, 1-2 cm wide, green, grey-green or dull green; lateral veins clearly visible, at 25°–35°; intramarginal vein up to 1 mm from margin; petiole terete, 5-15 mm long. Peduncle angular, 5-16 mm long; pedicels angular, 3-9 mm long. Operculum conical, 2-4 mm long, 3-4 mm wide; hypanthium obconical to obovoid, approx 4 mm long, 3-4 mm wide. Fruits hemispherical to ovoid, 4-9 mm long, 4-7 mm wide; disc descending; valves 4 or 5, level or included. Gum-barked. Coolibah. Fig. 101E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus orgadophila,NA,NA,tree,NA,12,50,4,5,15000,25,120,6,8,15000,18.5,85,5,6.5,"Tree to 15 m. Bark rough on most of trunk, then smooth and grey-white above. Adult leaves narrowly to broadly lanceolate, acute to acuminate; lamina 5-12 cm long, 1.2-2.5 cm wide, grey-green or dull green; lateral veins faint, at 25°–40°; intramarginal vein up to 1 mm from margin; petiole terete, 12-15 mm long. Peduncle quadrangular, 7-13 mm long; pedicels terete, 1-4 mm long. Operculum hemispherical, sometimes apiculate, 3-5 mm long, 4-5 mm wide; hypanthium hemispherical, 4-5 mm long and wide. Fruits subglobular to subpyriform, 5-8 mm long, 4-6 mm wide; disc descending; valves 3-5, included. Mountain. Coolibah, Gum-topped. Box. Fig. 101G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus lucasii,NA,NA,tree,NA,NA,NA,4,5,12000,NA,NA,5,8,12000,NA,NA,4.5,6.5,"Tree to 12 m, or mallee to 8 m. Bark usually smooth throughout, copper-brown to white or grey, but occasionally with rough bark to approx 0.3 m. Adult leaves: lamina 6-11.5 cm long, 1.3-2 cm wide, grey-green or subglaucous; lateral veins faint, at 25°–40°; intramarginal vein up to 2 mm from margin; petiole terete, 20-30 mm long. Peduncle terete, 5-8 mm long; pedicels 2-4 mm long. Operculum hemispherical, 1-2 mm long, 2-3 mm wide; hypanthium obovoid, 3-4 mm long, approx 3 mm wide. Fruits 5-8 mm long, 4-5 mm wide. Barlee. Box. Fig. 101 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus thozetiana,NA,NA,tree,NA,5,60,3,3,25000,11,150,4,6,25000,8,105,3.5,4.5,"Tree to 25 m. Bark smooth throughout, white to grey, sometimes pink-grey; exfoliating flakes often retained in small curls. Juvenile leaves linear, green, concolorous. Adult leaves narrowly lanceolate, acuminate; lamina 6-15 cm long, 0.5-1.1 cm wide, green; lateral veins faint, at 30°–40°; intramarginal vein up to 1 mm from margin; petiole terete, 5-10 mm long. Peduncle terete or angular, 5-14 mm long; pedicels 2-6 mm long. Buds ovoid to clavate, somewhat quadrangular; operculum conical, 1-2 mm long, 2-3 mm wide; hypanthium suburceolate, 2-3 mm long and wide. Fruits cylindrical to ovoid, 3-6 mm long, 3-4 mm wide; valves 3 or 4. Yapunyah, Thozet’s Box. Fig. 101K–L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus ochrophloia,NA,NA,tree,NA,10,125,6,10,20000,15,180,8,15,20000,12.5,152.5,7,12.5,"Tree to 20 m, though usually less than 15 m. Bark rough, fibrous to 4 m, abruptly changing to smooth and red or bronze above. Juvenile leaves narrowly lanceolate to lanceolate, green, slightly discolorous. Adult leaves narrowly lanceolate, acuminate to uncinate; lamina 12.5-18 cm long, 1-1.5 cm wide, green; lateral veins faint, at 25°–35°; intramarginal vein up to 2 mm from margin; petiole terete, 10-20 mm long. Peduncle terete, 5-12 mm long; pedicels 5-6 mm long. Buds cylindrical to conical; operculum conical, 5-6 mm long and wide; hypanthium cylindrical or suburceolate, 6-7 mm long, 5-6 mm wide. Fruits cylindrical to suburceolate, 2-4-ribbed, 10-15 mm long, 6-8 mm wide; valves 3 or 4. Yapunyah. Fig. 101M–N","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus lansdowneana,NA,NA,mallee,NA,NA,NA,NA,NA,6000,NA,NA,NA,NA,6000,NA,NA,NA,NA,"Mallee to 6 m or small tree to 9 m. Bark rough, fibrous, grey or grey-brown on trunk and larger branches, then smooth and white-grey above. Juvenile leaves broadly lanceolate to lanceolate, slightly discolorous, green. Adult leaves lanceolate to broadly lanceolate, acute; petiole terete, 10-20 mm long. Pedicels absent or to 3 mm long. Fruits ovoid to suburceolate, subcylindrical or pyriform; valves 3 or 4","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus lansdowneana,lansdowneana,NA,mallee,NA,NA,NA,NA,7,6000,NA,NA,NA,10,6000,NA,NA,NA,8.5,"Buds usually cylindrical; operculum hemispherical, approx 3 mm long, 4-5 mm wide; hypanthium obconical to urceolate, 6-7 mm long, 4-5 mm wide. Fruits ovoid to suburceolate, several-ribbed, 7-10 mm long and wide. Crimson. Mallee. Fig. 102A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus lansdowneana,albopurpurea,NA,mallee,NA,12,70,5,6,6000,22,110,6,9,6000,17,90,5.5,7.5,"Adult leaves broadly lanceolate to lanceolate; lamina 7-11 cm long, 1.2-2.2 cm wide, dull, green to dark green; lateral veins distinct, at 20°–35°; intramarginal vein up to 2 mm from margin. Peduncle angular or slightly flattened, 10-15 mm long. Buds ovoid to cylindrical; operculum hemispherical, 2-3 mm long, approx 4 mm wide; hypanthium obconical to obovoid, 4-5 mm long, approx 4 mm wide. Fruits subcylindrical or pyriform, without ribs, 6-9 mm long, 5-6 mm wide. Port. Lincoln. Mallee. Fig. 102C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus petraea,NA,NA,tree,NA,20,70,6,5,14000,25,120,7,8,14000,22.5,95,6.5,6.5,"Tree or mallee to 14 m. Bark rough, fibrous, dark grey on trunk for 3-10 m, then smooth, grey to pink-grey above, deciduous in long ribbons. Juvenile leaves not seen. Adult leaves lanceolate, acute to acuminate; lamina 7-12 cm long, 2-2.5 cm wide, shining, dark green; lateral veins usually distinct, at 30°–40°; intramarginal vein up to 2 mm from margin; petiole terete, 15-25 mm long. Peduncle angular, 13-18 mm long; pedicels 3-7 mm long. Buds obconical; operculum conical, 2-4 mm long, 4-5 mm wide; hypanthium obconical, 3-5 mm long, 4-5 mm wide. Fruits obconical to obovoid or hemispherical, 5-8 mm long, 6-7 mm wide; valves 4 or 5. Fig. 102E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus dawsonii,NA,NA,tree,NA,NA,NA,2,3,28000,NA,NA,4,6,28000,NA,NA,3,4.5,"Tree to 28 m. Adult leaves: lamina 10-15 cm long, 1.5-2.5 cm wide; lateral veins at 35°–40°; intramarginal vein up to 1 mm from margin; petiole terete, 15-23 mm long. Peduncle terete, 6-10 mm long; pedicels 2-4 mm long. Buds glaucous; operculum conical, approx 2 mm long and wide; hypanthium obconical, 2-3 mm long, approx 2 mm wide. Fruits glaucous, 3-6 mm long, 2-4 mm wide. Slaty. Gum. Fig. 102G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus albens,NA,NA,tree,NA,17,100,5,6,25000,30,160,10,15,25000,23.5,130,7.5,10.5,"Tree to 25 m. Bark rough, fibrous, light grey or somewhat bleached on trunk, then smooth and white above. Juvenile leaves ovate to suborbicular, sometimes cordate, 9-15 cm long, 6-11.5 cm wide, grey-green to blue-green. Adult leaves broadly lanceolate to lanceolate, acuminate; lamina 10-16 cm long, 1.7-3 cm wide, glaucous or grey-green; lateral veins prominent, at 20°–30°; intramarginal vein up to 2 mm from margin; petiole terete to slightly flattened, 15-22 mm long. Peduncle quadrangular, glaucous, 10-15 mm long; pedicels absent or 1-5 mm long. Buds cylindrical, glaucous; operculum conical, 4-8 mm long, 4-7 mm wide; hypanthium cylindrical, 4-8 mm long, 4-7 mm wide. Fruits cylindrical to suburceolate, glaucous, often ribbed, 6-15 mm long, 5-10 mm wide. White. Box. Fig. 102 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus moluccana,NA,NA,tree,NA,20,85,4,5,30000,33,140,6,9,30000,26.5,112.5,5,7,"Tree to 30 m. Bark rough, fibrous, grey on half trunk or sometimes more, then smooth, sometimes shining, grey or white above and deciduous in hanging ribbons. Juvenile leaves ovate, sometimes suborbicular, green. Adult leaves broadly lanceolate to lanceolate, acuminate; lamina 8.5-14 cm long, 2-3.3 cm wide, shining, green; lateral veins at 25°–40°; intramarginal vein up to 1 mm from margin; petiole terete to slightly flattened, 15-25 mm long. Peduncle terete or angular, 5-13 mm long; pedicels 1-7 mm long. Buds fusiform; operculum conical, 3-5 mm long, 3-4 mm wide, hypanthium obconical, 3-4 mm long and wide. Fruits ovoid to suburceolate, often ribbed, 5-9 mm long, 4-6 mm wide. Grey. Box. Fig. 102K–L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus microcarpa,NA,NA,tree,NA,10,80,3,3,25000,20,150,5,7,25000,15,115,4,5,"Tree to 25 m. Bark rough, fibrous on trunk and larger branches, grey, tessellated, then smooth and white above. Juvenile leaves ovate, green. Adult leaves lanceolate, acuminate; lamina 8-15 cm long, 1-2 cm wide, green; lateral veins faint or clearly visible, at 20°–30°; intramarginal vein up to 1 mm from margin; petiole terete, 10-15 mm long. Peduncle angular, 3-10 mm long; pedicels 1-5 mm long, occasionally absent. Buds fusiform; operculum conical, 2-3 mm long, 2-4 mm wide; hypanthium obconical, 3-4 mm long, 2-4 mm wide. Fruits ovoid to cylindrical, not ribbed, 3-7 mm long, 3-5 mm wide. Grey. Box. Fig. 103A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus pilligaensis,NA,NA,tree,NA,7,75,3,2,25000,13,130,4,4,25000,10,102.5,3.5,3,"Tree to 25 m. Bark rough, fibrous on trunk and larger branches, grey, then smooth and white-grey above. Juvenile leaves linear, green. Adult leaves linear to narrowly lanceolate, acute; lamina 7.5-13 cm long, 0.7-1.3 cm wide, shining, green; lateral veins faint, at 30°–40°; intramarginal vein up to 1 mm from margin; petiole terete, 7-10 mm long. Peduncle terete, 7-13 mm long; pedicels 5-8 mm long. Buds ovoid to fusiform; operculum conical, 1-2 mm long, approx 2 mm wide; hypanthium obovoid, 1-2 mm long, approx 2 mm wide. Fruits subglobular to ovoid, not ribbed, 2-4 mm long, 3-4 mm wide. Narrow-leaved. Box, Pilliga. Box. Fig. 103C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus argophloia,NA,NA,tree,NA,8,85,NA,NA,40000,13,130,NA,NA,40000,10.5,107.5,NA,NA,"Tree to 40 m. Bark smooth throughout, usually white but seasonally brown, yellow to pink-grey, with approx 1 m of decorticating bark at base of trunk. Juvenile leaves linear to narrowly lanceolate, grey-green, slightly discolorous. Adult leaves narrowly lanceolate, acute to acuminate; lamina 8.5-13 cm long, 0.8-1.3 cm wide, green; lateral veins just visible, at 30°–40°; intramarginal vein up to 1 mm from margin; petiole terete, 7-12 mm long. Conflorescence axillary, sometimes terminal, simple; umbels 7-flowered; peduncle quadrangular, 4-8 mm long; pedicels 1-5 mm long. Buds ovoid to subglobular; operculum hemispherical, 1-2 mm long, 3-4 mm wide; hypanthium hemispherical, 2-3 mm long, 3-4 mm wide. Fruit hemispherical, 3-5 mm long, 4-7 mm wide; disc moderately broad, ±level; valves 4-6, slightly included to slightly exserted. Queensland. White. Gum. Fig. 103E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus bosistoana,NA,NA,tree,NA,7,100,NA,4,60000,20,200,NA,7,60000,13.5,150,NA,5.5,"Tree to 60 m. Bark rough, finely fibrous, grey on lower trunk or sometimes higher, or sometimes ±smooth, grey-white throughout. Juvenile leaves ovate to orbicular, green, discolorous. Adult leaves lanceolate to narrowly lanceolate, sometimes falcate, acuminate; lamina 10-20 cm long, 0.7-2 cm wide, green; lateral veins clearly visible, at 25°–45°; intramarginal vein up to 3 mm from margin; petiole terete, 10-17 mm long. Conflorescence usually axillary, simple, sometimes terminal, paniculate; umbels 7-flowered; peduncle terete to quadrangular, 7-10 mm long; pedicels 3-10 mm long. Buds ovoid or clavate; operculum conical to hemispherical, 3-5 mm long and wide; hypanthium hemispherical, approx 4 mm long, 3-5 mm wide. Fruits hemispherical to ovoid, 4-7 mm long and wide; disc moderately broad, descending; valves 5-7, level or included. Bosisto’s Box, Coast. Grey Box. Fig. 103G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus porosa,NA,NA,mallee,NA,10,60,5,5,5000,20,120,6,8,5000,15,90,5.5,6.5,"Mallee to 5 m or tree to 12 m. Bark rough, fibrous, grey-brown on trunk or lower stems of mallees, sometimes extending to larger branches of trees, then smooth and grey-white above. Juvenile leaves elliptic to ovate, dark green, slightly discolorous. Adult leaves lanceolate, uncinate; lamina 6-12 cm long, 1-2 cm wide, shining, green; lateral veins clearly visible, at 15°–40°; intramarginal vein up to 3 mm from margin; petiole terete, 10-15 mm long. Conflorescence axillary, simple; umbels 7-flowered; peduncle quadrangular, 2-10 mm long; pedicels 2-4 mm long. Buds clavate to obovoid; operculum hemispherical to conical, 2-4 mm long, 3-4 mm wide; hypanthium obovoid, 2-4 mm long, approx 4 mm wide. Fruits ovoid to pyriform, 5-8 mm long, 5-6 mm wide; disc moderately broad, descending; valves 4 or 5, included. Mallee. Box. Fig. 103 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus sparsa,NA,NA,mallee,NA,15,50,4,4,6000,35,120,6,5,6000,25,85,5,4.5,"Mallee, sometimes a tree, to 6 m. Bark rough, fibrous, grey or grey-brown on lower trunk, then smooth, grey above. Juvenile leaves not seen. Adult leaves lanceolate to broadly lanceolate or ovate, acute; lamina 5-12 cm long, 1.5-3.5 cm wide, shining, green; lateral veins prominent, at 25°–40°; intramarginal vein up to 4 mm from margin; petiole terete, 15-25 mm long. Conflorescence terminal, paniculate, sometimes axillary, simple; umbels 7-flowered; peduncle terete, 6-11 mm long; pedicels 2-3 mm long. Buds ovoid to clavate; operculum hemispherical to conical, 2-3 mm long, 3-4 mm wide; hypanthium obovoid, 3-4 mm long and wide. Fruits hemispherical to subglobular, 4-5 mm long, 4-6 mm wide; disc broad, descending; valves 4-6, level or included. Fig. 103K–L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
